SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,SCHOOL_NUMBER,AB_STUDENT_IN_AB_PROGRAM,ELL,FRENCH_PROGRAM,CORE_FRENCH,FRENCH_IMMERSION,PROGRAMME_FRANCOPHONE,CAREER_PREPARATION,CAREER_TECH_CENTRE,CONTINUING_ED_PROGRAM,COOP,DIST_LEARNING,APPRENTICESHIP
2014/2015,SCHOOL LEVEL,BC Public School,40,4040010,7,45,36,36,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,40,4040012,13,169,,,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,40,4040013,33,7,558,286,272,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,40,4040014,10,25,137,137,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,40,4040015,12,94,215,104,111,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,40,4096707,,,,,,,,,,,1,
2014/2015,SCHOOL LEVEL,BC Public School,40,4096708,,,19,19,,,,,,,1,
2014/2015,SCHOOL LEVEL,BC Public School,40,4096862,,32,,,,,,,,,1,
2014/2015,SCHOOL LEVEL,BC Public School,40,4099110,15,,,,,,,,,,1,
2014/2015,SCHOOL LEVEL,BC Public School,40,4099124,22,,,,,,,2,,,8,
2014/2015,SCHOOL LEVEL,BC Public School,40,4099126,24,,,,,,,,,,9,
2014/2015,SCHOOL LEVEL,BC Public School,40,4099136,2,8,,,,,,,,,105,
2014/2015,SCHOOL LEVEL,BC Public School,40,4099185,,,,,,,,,11,,261,
2014/2015,SCHOOL LEVEL,BC Public School,40,4099223,,,,,,,,,,,388,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141000,,,,,,,,,616,,13,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141001,27,44,274,273,1,,226,23,,,168,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141002,30,80,594,594,,,458,14,,,276,2
2014/2015,SCHOOL LEVEL,BC Public School,41,4141005,30,13,431,329,102,,133,21,,,108,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141007,25,31,327,197,130,,125,29,,,118,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141008,12,157,128,128,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141011,29,124,689,341,348,,395,1,,,196,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141015,18,42,212,166,46,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141016,7,62,279,54,225,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141017,6,53,193,87,106,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141018,8,85,199,199,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141019,5,80,88,88,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141020,19,165,122,122,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141021,10,98,224,167,57,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141022,24,117,228,153,75,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141023,10,261,247,247,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141024,9,117,134,134,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141025,4,17,65,65,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141026,10,82,133,133,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141029,14,74,131,131,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141030,8,31,89,89,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141031,1,23,38,38,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141032,8,101,281,136,145,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141033,7,69,125,125,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141034,8,58,96,96,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141035,6,70,103,103,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141036,1,22,45,45,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141037,11,251,690,271,419,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141038,22,302,165,165,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141039,12,163,124,124,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141040,10,149,139,139,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141041,8,38,106,106,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141044,10,27,56,56,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141046,3,60,336,149,187,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141047,15,105,148,148,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141048,4,59,390,104,286,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141049,27,182,176,176,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141050,11,36,63,63,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141052,15,148,94,94,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141053,8,45,144,47,97,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141054,14,128,113,113,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141056,13,92,159,159,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141057,18,49,120,120,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141060,15,37,91,91,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141061,4,61,57,57,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141062,35,143,513,513,,,363,7,,,180,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141063,42,66,429,429,,,368,15,,,166,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141065,1,227,159,159,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141066,29,,,,,,,1,,,24,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141068,40,110,239,239,,,279,5,,,89,
2014/2015,SCHOOL LEVEL,BC Public School,41,4141069,5,76,79,79,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4195036,7,,,,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4195066,3,,,,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4196031,,,508,508,,,,,,,32,
2014/2015,SCHOOL LEVEL,BC Public School,41,4196072,,,249,249,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4196085,,,236,236,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4196118,,,237,237,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4196139,,,250,250,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4196141,,,380,380,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4196169,,9,143,143,,,,,,,5,
2014/2015,SCHOOL LEVEL,BC Public School,41,4196182,,,170,170,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4196766,,,110,110,,,,,,,14,
2014/2015,SCHOOL LEVEL,BC Public School,41,4199035,2,,,,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4199039,1,,,,,,,,,,2,
2014/2015,SCHOOL LEVEL,BC Public School,41,4199145,,,11,11,,,,,2,,321,
2014/2015,SCHOOL LEVEL,BC Public School,41,4199193,Msk,Msk,,,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,41,4199195,2,,,,,,3,,,,1,
2014/2015,SCHOOL LEVEL,BC Public School,41,4199196,5,,,,,,7,1,,,3,
2014/2015,SCHOOL LEVEL,BC Public School,41,4199197,8,,,,,,9,1,,,3,
2014/2015,SCHOOL LEVEL,BC Public School,41,4199199,3,,,,,,Msk,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242000,3,,,,,,,,306,,7,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242001,93,4,599,311,288,,,,5,,71,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242002,66,,315,315,,,10,41,9,,58,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242003,67,3,406,308,98,,65,1,5,,36,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242004,83,4,248,248,,,24,8,7,,38,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242005,43,6,227,227,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242008,40,22,308,46,262,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242009,25,18,100,100,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242010,43,9,104,104,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242011,48,25,170,144,26,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242014,27,14,145,145,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242017,32,28,464,91,373,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242020,19,4,71,71,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242026,50,,,,,,,,,,2,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242031,29,30,135,135,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242032,34,20,505,95,410,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242033,11,48,105,105,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242035,25,9,181,181,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242036,53,21,132,132,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242037,39,16,228,228,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242038,49,6,536,536,,,46,,7,,86,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242039,34,17,118,118,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242040,21,,110,110,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242041,18,5,81,81,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242042,25,16,210,210,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242043,64,19,168,168,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242045,68,1,300,299,1,,21,48,4,,48,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242046,10,,21,21,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4242052,27,12,210,210,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4296099,,13,114,114,,,,,,,2,
2014/2015,SCHOOL LEVEL,BC Public School,42,4296153,,,225,225,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,42,4296400,,,508,508,,,,,,,22,
2014/2015,SCHOOL LEVEL,BC Public School,42,4299153,21,,,,,,,,,,6,
2014/2015,SCHOOL LEVEL,BC Public School,42,4299154,,,,,,,,,2,,31,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343000,,,,,,,,,853,,25,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343002,2,11,32,32,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343004,15,104,59,59,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343005,3,18,31,31,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343006,16,29,27,27,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343009,1,139,85,85,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343010,35,51,30,30,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343011,12,28,76,76,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343012,20,130,45,45,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343013,10,46,46,46,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343017,6,67,60,60,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343018,17,160,221,60,161,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343019,6,29,285,21,264,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343020,18,86,52,52,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343021,7,55,95,95,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343022,8,21,58,58,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343023,6,32,20,20,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343024,15,29,562,562,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343027,10,22,332,57,275,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343029,25,90,63,63,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343030,3,1,,,,,,,,,5,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343031,9,52,189,29,160,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343033,5,73,123,123,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343034,13,107,47,47,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343036,8,34,204,16,188,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343037,5,53,16,16,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343038,9,95,39,39,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343043,14,59,49,49,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343044,9,78,27,27,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343045,5,44,62,62,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343046,14,29,57,57,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343047,9,134,235,46,189,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343048,3,138,305,86,219,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343049,4,68,57,57,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343050,1,160,50,50,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343051,5,23,18,18,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343053,16,22,266,30,236,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343054,11,12,45,45,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343055,28,74,284,33,251,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343056,8,120,28,28,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343057,4,79,58,58,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343058,14,44,34,34,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343060,52,,,,,,,,,,2,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343069,15,179,88,88,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343070,27,88,39,39,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343071,4,115,187,187,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343072,4,40,71,71,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343073,3,143,57,57,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343074,,63,112,112,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343076,58,113,230,230,,,78,19,1,,44,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343078,14,40,295,295,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343080,43,19,704,184,520,,54,18,1,,106,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343081,25,43,403,227,176,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343082,19,45,404,197,207,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343084,20,16,331,331,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343086,17,32,247,222,25,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343088,45,58,296,296,,,85,2,,,105,1
2014/2015,SCHOOL LEVEL,BC Public School,43,4343090,21,37,439,439,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343091,27,90,566,425,141,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343093,21,66,508,227,281,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343102,10,22,417,417,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343108,47,39,651,542,109,,,,,,1,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343110,15,39,553,553,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343113,18,69,555,555,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343114,4,153,683,683,,,,,,,1,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343125,23,43,187,187,,,43,18,1,,99,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343127,25,86,141,141,,,22,1,1,,113,
2014/2015,SCHOOL LEVEL,BC Public School,43,4343130,24,101,247,247,,,101,,20,,87,1
2014/2015,SCHOOL LEVEL,BC Public School,43,4343132,63,52,422,162,260,,64,10,2,,60,1
2014/2015,SCHOOL LEVEL,BC Public School,43,4343136,88,58,251,251,,,82,10,,,69,
2014/2015,SCHOOL LEVEL,BC Public School,43,4396074,,,386,184,202,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4396137,,,234,234,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4396349,,,,,,,,,,,7,
2014/2015,SCHOOL LEVEL,BC Public School,43,4396380,,35,236,236,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4396579,,7,119,119,,,,,,,19,
2014/2015,SCHOOL LEVEL,BC Public School,43,4396588,,,24,24,,,,,,,7,
2014/2015,SCHOOL LEVEL,BC Public School,43,4396629,,,278,278,,,,,,,27,
2014/2015,SCHOOL LEVEL,BC Public School,43,4396635,,,97,97,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,43,4399143,2,,,,,,1,,16,,1153,18
2014/2015,SCHOOL LEVEL,BC Public School,43,4399179,4,,,,,,,,,,4,
2014/2015,SCHOOL LEVEL,BC Public School,43,4399210,,,,,,,,,,,6,
2014/2015,SCHOOL LEVEL,BC Public School,43,4399211,8,,1,1,,,,,,,125,
2014/2015,SCHOOL LEVEL,BC Public School,43,4399220,6,,,,,,,,,,4,
2014/2015,SCHOOL LEVEL,BC Public School,43,4399226,48,,,,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444000,,,,,,,,,16,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444001,10,19,115,115,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444003,17,49,137,137,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444005,35,142,128,128,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444008,6,76,169,169,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444009,30,46,56,56,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444011,2,35,152,152,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444012,18,24,347,347,,,64,3,,30,51,4
2014/2015,SCHOOL LEVEL,BC Public School,44,4444013,93,7,15,15,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444014,6,48,149,149,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444016,11,44,105,105,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444017,7,29,108,108,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444019,8,22,100,100,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444021,10,10,178,178,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444022,12,30,686,419,267,,56,,,3,96,5
2014/2015,SCHOOL LEVEL,BC Public School,44,4444023,1,20,116,116,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444024,7,31,327,86,241,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444025,14,49,856,506,350,,37,,,,156,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444026,26,21,439,241,198,,20,,,,55,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444027,5,21,363,77,286,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444029,7,13,429,74,355,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444031,1,19,99,99,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444032,34,8,285,53,232,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444034,1,23,348,70,278,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444036,98,45,617,617,,,54,,,,59,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444037,2,14,111,111,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444041,7,7,123,123,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444043,1,23,126,76,50,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444046,22,11,41,41,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444047,23,,229,229,,,53,,,,89,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444048,14,24,371,105,266,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4444049,8,8,123,123,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496062,,,461,460,,1,,,,,37,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496120,,,228,228,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496151,,2,151,151,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496204,,,,,,,,,,,3,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496214,,,249,249,,,,,,,2,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496606,,,,,,,,,,,13,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496638,,,125,,125,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496652,,,222,222,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496705,,,33,33,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496739,,,138,138,,,,,,,8,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496803,,,,,,,,,,,1,
2014/2015,SCHOOL LEVEL,BC Public School,44,4496861,,,40,40,,,,,,,3,
2014/2015,SCHOOL LEVEL,BC Public School,44,4499176,,,,,,,,,,,155,
2014/2015,SCHOOL LEVEL,BC Public School,44,4499191,53,,,,,,,,,,5,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545010,7,73,723,390,333,,135,,,,139,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545015,10,111,427,427,,,56,9,,,111,3
2014/2015,SCHOOL LEVEL,BC Public School,45,4545019,6,10,119,119,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545020,3,41,148,148,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545025,,33,231,,231,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545030,,106,109,109,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545035,,7,,,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545040,1,10,7,7,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545045,2,9,126,126,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545055,8,93,83,83,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545060,8,101,146,146,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545062,,1,,,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545065,2,69,416,,416,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545070,1,104,174,174,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545075,,46,167,167,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545080,1,83,121,121,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,45,4545081,6,28,304,304,,,91,,,,93,1
2014/2015,SCHOOL LEVEL,BC Public School,45,4596367,,,865,865,,,,,,,67,
2014/2015,SCHOOL LEVEL,BC Public School,45,4596639,,,64,64,,,,,,,18,
2014/2015,SCHOOL LEVEL,BC Public School,45,4596701,,,458,458,,,,,,,24,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646001,36,12,137,137,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646007,23,1,34,34,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646008,56,16,201,201,,,,1,,,22,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646009,29,2,103,103,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646011,20,7,23,23,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646012,28,1,42,42,,,,,,,11,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646013,21,1,77,77,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646015,18,4,48,48,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646016,37,7,98,98,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646017,72,17,155,155,,,,9,,,24,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646018,35,4,116,116,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,46,4646022,104,48,42,42,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,46,4699076,34,,,,,,,2,,,5,
2014/2015,SCHOOL LEVEL,BC Public School,46,4699160,2,,,,,,,1,,,86,
2014/2015,SCHOOL LEVEL,BC Public School,47,4747000,6,,,,,,7,,30,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4747001,58,,117,19,98,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4747004,23,,,,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4747010,24,,89,89,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4747013,14,1,38,38,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4747014,9,,13,13,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4747015,17,,59,59,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4747021,108,1,159,159,,,4,,2,,63,
2014/2015,SCHOOL LEVEL,BC Public School,47,4747022,25,4,135,135,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4796088,,,178,178,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4796622,,,12,12,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,47,4799161,,,,,,,,,,,193,
2014/2015,SCHOOL LEVEL,BC Public School,48,4848004,49,17,214,147,66,1,13,7,,,55,
2014/2015,SCHOOL LEVEL,BC Public School,48,4848008,27,38,44,44,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,48,4848011,38,43,215,51,164,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,48,4848012,40,23,19,19,,,,,,,,
2014/2015,SCHOOL LEVEL,BC Public School,48,4848014,10,4,,,,,,,,,,
